,name,salary,description,skills,company,address
31,Аналитик данных,,"Мы собираем самые амбициозные команды и финансируем их, чтобы дать им возможность участвовать в мировых IT проектах. Проект новинка, в создание которого мы участвовали за последнее время: 🔺Running Wizard в Steam🔻- Новый рогалик, совместивший в себе классические шутеры и Vampire Survivors механики. Воссоздание ретро опыта со свежим взглядом. Кое-что о задачах:  Сбор и анализ данных Разработка стратегий развития Анализ бизнес-процессов Оптимизация расходов Формирование бизнес-требований и управление их реализацией  Участие в обсуждении и реализации идей, повышающих конкурентоспособность продукта;   Регламентирование процессов   Ожидаем от вас:   Аналитический ум   Умение работать с большими объемами данных   Опыт работы не обязателен, но будет плюсом.   Умение работать в команде и самостоятельно.   Желание развиваться и учиться новому.   Умение погружаться в детали и делать руками   Будет плюсом:   Опыт на аналогичной позиции от 1 года.   Высшее образование (в профильной сфере).   Нам по пути, потому что:   Предоставляем возможность непрерывного профессионального роста в экспертной команде: у нас огромная база знаний, более 1000 учебных материалов по данной сфере и система наставничества, которая позволяет влиться быстро.   Практически неограниченные ресурсы и привлечение ведущих специалистов из любого отдела для решения самых амбициозных задач.   Кросс-продуктовые решения. Мы постоянно экспериментируем и внедряем новые технологии от AI до уникальных IT решений, которые эффективно работают в синергии.   Возможность переходить между направлениями и не только в рамках одного продукта, а всей нашей IT деятельности.   Международная команда и проекты, а значит вы работаете со специалистами со всего земного шара   Возможность без долгих согласований и бюрократии изменять процессы и подходы на более эффективные.   Самые сложный и амбициозные задачи, у всех проектов есть потенциал роста до Единорога в течение нескольких лет после старта   Мы предлагаем: Условия:   Гибкий график работы с адаптивной системой начало - конец рабочего дня.   Вы можете работать из любой точки планеты или по месту присутствия офиса.   Для нас не важно, где и как вы выполняете свою работу — мы оцениваем только результаты.   Карьерный рост:   Ведущий аналитик, в подчинении 5 человек ( Опыт работы в компании от 12 месяцев)   Оплата:   Индивидуальная по итогам собеседования   Возможны премии и/или дополнительные выплаты, а так же процент от прибыли проектов, которые вы развиваете, от 3 месяцев сотрудничества   Мы предоставляем возможность присоединиться к нашей команде, вписать свое имя в историю и стать частью создания проектов галактического масштаба!","['Клиентоориентированность', 'MS Excel', 'MS Word', 'CRM', 'Деловая коммуникация', 'Деловое общение']",ООО Геомакс Финанс,"Москва, Китай-город, Кузнецкий мост, Лубянка, Площадь Революции, Лубянская площадь"
32,Аналитик (Речевая аналитика),,"Чем предстоит заниматься:   Анализ диалогов операторов с помощью речевой аналитики;   Автоматическая оценка качества разговоров и их суммаризация;   Определение тематик диалогов;   Настройка и развитие LLM-критериев (промты, логика оценки);  Участие в автоматизации и улучшении процессов оценки качества диалогов операторов.  Что мы ждём от кандидата:   Высшее/Неполное высшее образование (техническое / финансовое / экономическое);   Понимание принципов ML, LLM и речевой аналитики;   Логическое мышление, базовое понимание алгоритмов и структур данных;   Excel, SQL и Python — на среднем уровне;   Готовность разбираться в новых технологиях и ИИ-инструментах;   Коммуникабельность и умение работать в команде.","['Аналитическое мышление', 'SQL', 'Python', 'MS Excel', 'LLM', 'Аналитические исследования', 'Речевая аналитика']",ОТП Банк. Бизнес,"Москва, Балтийская, Войковская, Красный Балтиец, Сокол, улица Клары Цеткин, 4А"
33,Категорийный менеджер / товарный аналитик,от 200 000 до 300 000 ₽ за месяц на руки,"LA VIVION – это международный ювелирный бренд, основанный в 1668 году во Франции. На сегодняшний день мы лидеры на рынке ювелирных изделий с сертифицированными бриллиантами в Москве и России. У нас свое собственное производство и большой выбор сертифицированных GIA бриллиантов, обладающих максимальной ликвидностью. Качество наших изделий на уровне именитых мировых брендов, мы гарантируем полное отсутствие брака и максимально дорожим своей репутацией.Мы создаём ювелирные украшения, которые становятся частью жизни наших клиентов, напоминают о самых важных событиях и дарят невероятные эмоции.Наша компания постоянно развивается и охватывает все большую долю рынка, завоевывая сердца клиентов. Мы работаем, соблюдая все нормы Российского законодательства (это касается и клиентов, и сотрудников, и нашего товара). Мы экологичны на 360° для всех наших партнеров. Приглашаем вас присоединиться к нашей команде профессионалов. Чем предстоит заниматься: Выстроить систему управления ассортиментом на основе данных: от аналитики и структуры матрицы до логики ценообразования и регулярной отчетности. Ключевые задачи:  Анализ продаж, остатков, оборачиваемости и эффективности SKU; Выявление точек роста, неликвидов и пробелов в ассортименте; Формирование и развитие ассортиментной матрицы; Участие в разработке системы ценообразования; Построение регулярной управленческой отчетности; Участие в стандартизации товарной базы и атрибутов; Поддержка прогнозирования спроса и планирования ассортимента; Подготовка рекомендаций для управленческих решений.  Требования:  Опыт в товарной аналитике или категорийном менеджменте от 2 лет; Уверенный Excel / Google Sheets; Понимание ключевых метрик: выручка, маржа, оборачиваемость; Навык работать с ассортиментной матрицей и данными; Системное мышление и внимательность; Опыт в retail / e-commerce / fashion / jewelry — плюс.  Будет плюсом:  Опыт работы с ценообразованием; Участие в стандартизации товарной базы; BI-инструменты, SQL.  Что вы получите:  Влияние на ключевые товарные решения компании; Возможность выстроить систему с нуля; Сильные задачи на стыке аналитики и бизнеса; Работа в комфортном офисе в центре Москвы (5 минут от м. Комсомольская), 5/2, гибкое начало дня; Белая заработная плата (обсуждается по результатам собеседования); Обучение, курсы, командные проекты; Уютная атмосфера, праздники, креативные активности и поддержка; Корпоративные подарки для сотрудников и детей; Оформление корпоративного ДМС — по истечении первого года работы.",[],ООО ЛАВИВИОН,"Москва, Комсомольская, Комсомольская, Площадь трёх вокзалов, Площадь трёх вокзалов, Каланчёвская улица, 16с1"
34,Стажер Аналитик данных в ИБ,,"Мы ищем стажера аналитика данных со знаниями в области ИБ в активно развивающуюся командуО проекте:Команда Threat intelligence занимается реагированием на внешние цифровые угрозы, с упором на аналитику соц. сетей и внутренних источников:   Развитие платформы по аналитике внешнего контура: интернет, соц. сети, tor.   Выявление подозрительных паттернов, указывающих на подготовку фрода в отношении компании.   Поиск новой информации о тестировании злоумышленниками банковских продуктов.   Обновление информации о текущих векторах атак.     Тебе предстоит:   Поддержка и развитие платформы реагирования на внешние цифровые угрозы;   Разработка аналитических инструментов для подразделения; работа с уже накопленными данными, составление дашбордов;   Аналитика объектов с использованием методов интернет-разведки; участие в антифрод-экспертизе банковских продуктов.   Откликайся, если ты:   Получаешь высшее образование по технической/ИТ специальности.   Сейчас учишься на 3–4 курсе, но уже готов начать развитие по специальности.   Знаком со стеком: Python, PostgreSQL, MongoDB, Docker, Apache.Kafka, PHP/MySQL/JS.   Интересуешься сферой ИБ.   Готов работать в гибридном графике (30 или 40 часов в неделю).","['Python', 'SQL', 'MongoDB', 'Docker', 'Kafka']",АО «ОТП Банк» (JSC «OTP Bank»),
35,Аналитик Wildberries,от 40 000 до 60 000 ₽ за месяц на руки,"Привет! Я основатель бренда женской одежды-PALESSI. На Вайлдбериз мы уже 2 года, Присоединяйтесь к нашей команде и станьте частью модного стартапа! Мы в активной фазе роста и стремительно расширяем нашу ассортиментную матрицу! В связи с этим мы ищем в команду амбициозного и целеустремленного помощника руководителя. Если ты полон идей и готов работать с полной отдачей, демонстрируя искренний интерес к делу, то эта вакансия может стать твоим следующим шагом. Мы предлагаем возможность расти вместе с нами и внести свой вклад в развитие компании. Чем предстоит заниматься:  Анализировать поставки, брони и остатки товаров на Wildberries Оценивать эффективность тарифов и предлагать оптимизации Вести учет и актуализацию аналитических таблиц Работать с фулфилмент-центрами (ФФ), контролировать движение товаров Готовить регулярные отчеты для команды и руководства Выявлять тренды и аномалии в продажах, помогать принимать решения на основе данных Автоматизировать процессы сбора и обработки данных  Что важно для нас:  Опыт работы аналитиком данных или BI-аналитиком от 1 года Уверенное владение Google Sheets, знание формул, сводных таблиц Навыки работы с большими объемами данных, умение структурировать и визуализировать информацию Опыт анализа товарных остатков, логистики, тарифов — будет преимуществом Понимание специфики Wildberries Внимательность, самостоятельность, умение работать в динамичной среде Готовность к удаленной работе и самоорганизации  Условия и преимущества:  Полный рабочий день (5/2, с 9:00 до 18:00) Удалённый формат — работайте из любой точки мира Возможность профессионального роста вместе с быстрорастущим проектом Молодая команда, открытая к новым идеям и инициативам Прямое влияние на развитие бизнеса и результат Рассматриваем людей, которые не учатся в данный момент и не работают на другой работе (или же хотят совмещать).  О компании Мы — динамичный стартап, который строит бизнес на Wildberries и уже добился первых успехов в fashion-сегменте. Импортируем одежду из Киргизии и Китая, предлагаем уникальные решения и ценим командную работу. Если вы хотите расти вместе с нами и делать моду доступной — будем рады познакомиться!","['Маркетплейсы', 'Сводные таблицы', 'Планирование', 'Google Docs', 'Управление временем', 'Автоматизация процессов']",ИП Зарифов Хасан Замонович,
36,Аналитик (прогнозирование),,"Вам предстоит:  Поддержка и доработка алгоритмов прогнозирования; Анализ проводимых промо: анализ эффективности акций, расчет эффекта каннибализации, расчет прогноза следующих промо; Автоматизация расчета потребности по группам товаров; Расчет промо эластичности по товарам; Аналитический контроль закупок; Создание аналитических отчетов и их визуализация, подготовка регулярных и ad-hoc презентаций; Осуществление кросс-функционального взаимодействия со стейкхолдерами.  Мы ожидаем:  Высокий уровень владения SQL, Python; Опыт работы с BI инструментами (Superset); Уверенное владение Excel (power query / power pivot); Обязательно знание статистических методов анализа и прогнозирования; Опыт и умение работать с очень большими объёмами информации; Умение работать в команде.  Мы предлагаем:  ДМС со стоматологией, страхование от несчастных случаев, полис выезжающих за рубеж; Достойный уровень заработной платы; Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce; Свободу действий в принятии решений; Профессиональную команду, которой мы гордимся; Возможность развиваться вместе с нашим бизнесом.","['SQL', 'Python', 'Анализ данных', 'Прогнозирование', 'MS Excel', 'Power Pivot', 'Power Query', 'Формирование аналитической отчетности']",Ozon fresh,"Москва, Деловой центр, Деловой центр, Москва-Сити, Пресненская набережная, 10блокС"
37,Аналитик данных (Маркетинг),,"В команду Маркетинга Авиасейлс мы ищем аналитика, чтобы продолжать делать качественный контент и правильно работать с аудиторией. Предстоит взаимодействовать с разными стейкхолдерами внутри маркетингового направления, например, Paid и ПСЖР (наше онлайн медиа). От нас - возможность всесторонне прокачиваться в аналитике, решать сложные и интересные задачи. Нам также подойдут дата/продуктовые аналитики, которым интересно развиваться в маркетинге. Тебе предстоит:   анализировать и оценивать эффективность рекламных кампаний с помощью различных методик: A/B-тестирования, гео-тестирования, Causal Impact, diff-n-diff и т.д.;   собирать данные из разных источников, создавать агрегаты, следить за качеством данных;   обеспечивать команды маркетинга понятной и наглядной отчетностью: собирать дашборды, настраивать алерты и т.д.;   развивать продуктовую аналитику в нашем тревел-медиа «ПСЖР»: анализировать пользовательское поведение, искать точки роста и формулировать гипотезы.   Мы ожидаем:   опыт работы в роли маркетингового, продуктового или дата-аналитика от 3 лет;   уверенное владение SQL и Python;   умение наглядно визуализировать данные и работать с BI-инструментами;   опыт работы с API рекламных кабинетов будет плюсом;   опыт проведения A/B тестов, в т.ч. сложных;   опыт использования методов Causal Inference будет плюсом;   самостоятельность и проактивность: готовность не только выполнять входящие задачи, но и формулировать гипотезы, предложения и исследовательские направления;   опыт взаимодействия с разными стейкхолдерами: умение доносить аналитические выводы в понятной форме, помогать заказчику сформулировать запрос и ожидания.   Как мы работаем:    в любой точке мира: не привязываемся к локации, платим в долларах, любим путешествовать;   без бюрократии: удобные процессы здорового человека, горизонтальные и открытые коммуникации, быстрое обсуждение идей и принятие решений;   компенсируем: ДМС, психотерапию или иностранные языки, занятия спортом и больничный.","['SQL', 'Python', 'Tableau', 'Анализ данных', 'Маркетинговый анализ', 'Прогнозирование', 'A/B тесты']",Aviasales.ru,
38,Аналитик,120 000 ₽ за месяц до вычета налогов,"АО «РУССКИЙ ПРОДУКТ» - крупный отечественный производитель бакалейной продукции. Успешно работает на рынке с 1996 года. Наши бренды: «Геркулес», «Суперсуп», ""Печем дома"", ""Традиция"", ""Московский картофель"" и др. В компании работают более 1000 сотрудников. Мы предоставляем возможности для профессионального развития, повышения квалификации и карьерного роста. Наша цель – сохранение и развитие лучших традиций отечественного пищевого производства! Обязанности:  Формирование ежемесячного плана продаж по ключевым клиентам с детализацией до SKU (товаров); Анализ выполнения собранных планов продаж. С разделением на base line и промо активность; Анализ и контроль за изменением матрицы в сетях (ключевых клиентах) + динамика и сверка таких показателей как: АКБ (активная клиентская база), уходимость с 1 тт в разрезе регионов; Анализ выборки промо объемов в разрезе SKU – клиент.  Опытный менеджер введет в курс дела и поможет на начальном этапе! Требования:  Опыт работы в аналитике продаж/категорийном менеджменте или работе с ключевыми клиентами (FMCG/ритейл – как плюс); Уверенный Excel (сводные таблицы, формулы, работа с массивами данных); Понимание принципов планирования продаж, base line и промо‑активностей; Навыки работы с ассортиментной матрицей, показателями АКБ, уходимостью точек, знание ключевых метрик трейд‑маркетинга; Развитые аналитические способности, внимательность к деталям, умение работать с большим объёмом данных и делать выводы.  Условия:  Работа в крупной российской производственной компании с известными брендами! Оформление в соответствии с ТК РФ; Официальная заработная плата; Полный социальный пакет, ДМС со стоматологией; Оплачиваемые отпуска (28 календарных дней) и больничные листы; Корпоративные мероприятия; Новогодние подарки детям сотрудников; График работы 5/2. Гибкое начало рабочего дня; Креативная среда, позволяющая раскрыть лидерский потенциал и быть причастным к результатам бизнеса; Возможность карьерного развития, как внутри функции, так и в любом другом направлении компании; Возможность учиться у ""сильных"", успешных личностей-экспертов в своем деле.  Мы готовы предложить нашим сотрудника не только интересные задачи и стремительный карьерный рост, но и приятные бонусы, которые скрасят трудовые будни:  Экскурсии на производства; Гибкий график работы; Team building мероприятия; Кофе и снеки за счет компании;  Мы будем рады, если Вы присоединитесь к нашей успешной Команде!","['Претензионная работа', 'Работа с большим объемом информации', 'Аналитический склад ума', 'Аналитика', 'Статистика', 'Логическое мышление', 'Внимательность', 'MS Excel', 'OLAP', 'SQL', 'ERP Systems']",АО РУССКИЙ ПРОДУКТ,"Москва, Молодежная, Рабочий Посёлок, Сетунь, Ярцевская улица, 19"
39,Бизнес-аналитик,до 350 000 ₽ за месяц до вычета налогов,"В международную компанию ищем Бизнес-аналитика, который будет единственным экспертом по аналитике в регионе и работать напрямую с CEO.Роль с высоким уровнем влияния: вы будете презентовать результаты и инсайты на уровне штаб-квартиры. Фокус: маркетплейсы / mobility   💼 Чем предстоит заниматься  Анализировать данные и бизнес-показатели, находить точки роста и помогать командам принимать решения на основе данных Готовить понятные отчёты для отслеживания результатов и достижения бизнес-целей Проводить исследования рынка: оценка объёма, анализ трендов, конкурентов и поведения пользователей Развивать аналитическую инфраструктуру (дашборды, витрины данных, финансовые модели) Работать с ценообразованием и монетизацией: тестировать гипотезы и внедрять изменения Участвовать в кросс-функциональных проектах и прорабатывать бизнес-кейсы Выполнять ad hoc бизнес- и финансовую аналитику Внедрять новые процессы и оптимизировать текущие    🎯 Что важно  Опыт 2–4 года в аналитике (Marketplace / Mobility / E-commerce) Английский от B2 — предстоит регулярное общение и презентации на уровне HQ Высокий уровень самостоятельности и готовность глубоко погружаться в бизнес Сильные аналитические навыки и умение превращать данные в решения Опыт работы с инструментами визуализации данных (Tableau, Google Data Studio и др.) SQL (например, Google BigQuery) — будет преимуществом    🎁 Условия  Гибридный формат работы: 2–3 дня в офисе Конкурентная заработная плата 28 календарных дней отпуска Обучение и программы карьерного развития Компенсация питания и проезда","['Английский язык', 'Бизнес-анализ', 'Стратегическое планирование', 'Английский\xa0— B2 — Средне-продвинутый']",Hunt Expert,"Москва, 1-й Красногвардейский проезд"
40,Менеджер по работе с партнерами и анализу данных,от 100 000 до 120 000 ₽ за месяц до вычета налогов,"В связи с расширением штата, объявляем набор специалистов в Группу аналитики данных по сбору от интернет рекламы. Обязанности:  Консультирование пользователей по требованиям к загружаемым документам, формату и сроках подачи отчетности (объяснение пользователям установленных законом состава данных для подачи отчетности, а также правил и сроков подачи отчетной документации) Анализ поступающих запросов для выявления часто возникающих проблем, формирование базы знаний, постановка задач команде разработки на исправление ошибок Формирование и предоставление отчетности Поддержка при возникновении ошибок у пользователей при отправке отчетов/корректировке данных Сверка данных, хранящихся в системе с государственными органами, общение с участниками рынка по вопросам оплаты задолженности Работа с разными источниками информации  Требования:  Высшее оконченное образование Навыки деловой переписки Общее понимание сферы информационных технологий, связи и массовых коммуникаций, цифровых технологий Желателен опыт работы в ведомственных системах электронного документооборота (СЭД) ОБЯЗАТЕЛЕН опыт работы в МАРКЕТИНГЕ от полугода. Кандидаты, не имеющие данного опыта, не рассматриваются  Условия:   Оформление по ТК РФ, 100% белая заработная плата   График работы 5/2 с 8:30-17:30, пятница – сокращенный день до 16:15, возможность гибкого начала рабочего дня, удаленный формат работы   Современный комфортный офис   Добровольное медицинское страхование (после 3 месяцев работы)   Скидки по ДМС для родственников сотрудника   Скидки на стоматологию   Полис для выезжающих за границу   Годовая премия   Дополнительные выплаты к отпуску   Материальная помощь при рождении детей и к другим значимым событиям в жизни сотрудника   Материальная помощь в сложных жизненных ситуациях   Внешнее обучение за счет работодателя;   Внутреннее обучение: СДО, тренинги   Корпоративные мероприятия, подарки для детей","['Деловая коммуникация', 'Деловая переписка', 'Консультирование']","ГРЧЦ, ФГУП","Москва, Павелецкая, Дербеневская набережная, 7с9"
41,Младший системный аналитик / Junior System Analyst,,"Наш партнер ищет младшего системного аналитика в команду нашего партнёра. Рассматриваем кандидатов без коммерческого опыта, но с хорошей теоретической базой и пониманием принципов системного анализа или наличие пет проектов. Важны уверенные знания SQL, понимание REST API и базовое знание Kafka. Чем предстоит заниматься   Собирать, структурировать и уточнять требования вместе с командой и внутренними заказчиками   Описывать бизнес- и системную логику   Готовить постановки для разработки   Описывать интеграции между системами   Работать с API: анализировать запросы, ответы, параметры, ошибки   Участвовать в проектировании взаимодействия сервисов   Составлять и поддерживать документацию: user story, use case, BPMN/диаграммы, спецификации, схемы интеграций   Писать простые SQL-запросы для анализа данных и проверки гипотез   Взаимодействовать с разработчиками, тестировщиками и менеджерами в рамках задач команды   Что мы ожидаем   Понимание роли системного аналитика в IT-команде   Базовые знания SQL: SELECT, JOIN, GROUP BY, фильтрация, сортировка   Понимание принципов работы REST API   Базовое понимание Kafka: что такое топики, продюсеры, консюмеры, сообщения   Умение читать техническую документацию и работать с требованиями   Навык структурно излагать мысли письменно и устно   Будет плюсом опыт работы с Postman, Swagger, Jira, Confluence, UML, BPMN   Мы предлагаем   Возможность начать карьеру системного аналитика в сильной команде   Работу с реальными задачами и наставничество на старте   Формат работы: офис, после адаптации возможен гибрид   Рассматриваем кандидатов из регионов   Конкурентный уровень дохода обсуждается индивидуально   Перспективы профессионального роста внутри проекта   Важно Мы готовы рассматривать кандидатов из регионов, если вам подходит формат работы с присутствием в офисе на старте и возможным переходом на гибридный график в дальнейшем","['SQL', 'Микросервисная архитектура', 'Постановка задач разработчикам', 'PostgreSQL', 'REST API', 'UML', 'PlantUML', 'Swagger', 'Apache Kafka', 'Разработка нефункциональных требований', 'Разработка функциональных требований', 'Сбор требований', 'Agile']",ФЛАМИНГО,"Москва, Лубянка, Охотный ряд, Площадь Революции, Театральная, улица Охотный Ряд, 2"
42,Старший аналитик данных (Развитие сети ПВЗ),,"Команда: Аналитика развития сети ПВЗ ОЗОН Чем занимаемся: Развиваем крупнейшую сеть пунктов выдачи заказов. Наша аналитика — фундамент стратегии: мы определяем вектор развития сети ПВЗ, находим рычаги повышения эффективности и выявляем зоны роста. Что предстоит делать:  Влиять на стратегию развития сети ПВЗ через данные. Работать с ключевыми метриками развития сети — от их формирования и улучшения до внедрения в процессы принятия решений. Быть владельцем аналитики развития: формировать повестку — фиксировать ключевые для бизнеса метрики и выстраивать экосистему дашбордов, на основе которых принимаются решения. Проводить глубинную ad-hoc аналитику, выявлять зоны роста и проблемные места. Вырастить команду и быстро дорасти до тимлида — эта роль предполагает амбициозный карьерный трек с первых месяцев.  Кого ищем:  Бизнес-мышление: видите за цифрами бизнес-логику, умеете находить инсайты в данных и переводить их в конкретные решения SQL: уверенное владение сложными запросами, оконными функциями, оптимизация. Python: активно используете pandas, numpy для обработки и анализа больших массивов данных Визуализация: опыт построения дашбордов в Tableau, Power BI или Superset — от идеи до готового инструмента для бизнеса. Опыт работы с Git и Airflow",['Ozon офис и коммерция'],Ozon Офис и Коммерция,"Москва, Деловой центр, Деловой центр, Деловой центр, Московский международный деловой центр Москва-Сити, многофункциональный комплекс Башня на Набережной"
43,Аналитик данных/Data Quality (Офис),до 287 000 ₽ за месяц до вычета налогов,"Привет! Мы - ООО «Датаномика», решаем проблемы структурирования разнородных данных, которые сложно поддаются анализу, помогаем среднему и малому бизнесу, банкам, ритейлу использовать данные о клиентах для оценки конъюнктуры спроса и экономических показателей, помогаем повысить качество сервиса финансового планирования и аналитики для клиентов. Что входит в задачи:   Проработка с заказчиками требований для разработки и внедрения нового функционала в фреймворк;   Оформление тех заданий для команды разработки;   Коммуникация с заказчиками и бизнес-подразделениями, консультации по возникающим вопросам;   Анализ и расчет трудозатрат для внедрения новых модулей во фреймворк;   Взаимодействие с разработчиками фреймворка.   Технические навыки и инструменты:  Владение SQL на продвинутом уровне (знание оконных функций, оптимизации запросов, работа с большими таблицами); Опыт работы с языками статистического анализа и обработки данных: Python (Pandas, NumPy, SciPy) или R (tidyverse, data.table);  Опыт визуализации данных и построения дашбордов в BI-системах (Tableau, Power BI, Superset, Redash или аналогах);  Умение проектировать структуру дашбордов;  Опыт работы с большими данными приветствуется (Hadoop, Spark, BigQuery, Redshift).  Анализ и бизнес-задачи:  Понимание основ статистики (A/B тестирование, корреляции, распределения) и умение проверять гипотезы;  Навыки визуального storytelling: умение превратить ""сухие"" цифры и метрики в понятные графики и выводы для бизнес-пользователей;  Умение переводить бизнес-вопросы в задачи для анализа и метрики;  Понимание продуктовых или маркетинговых метрик (в зависимости от сферы компании: Retention, LTV, ROI, CAC и т.д.).  Личные качества:  Развитое аналитическое мышление и внимание к деталям; Навыки коммуникации и презентации результатов; Клиентоориентированность: понимание того, что дашборд — это инструмент для принятия решений, а не просто набор красивых графиков.  Мы предлагаем:   Офисный формат работы;   Работа в ИТ-аккредитованной компании;   Регулярное обучение и профильные конференции за счёт компании, Современное оборудование для работы.   Официальная «белая» зарплата;   Оформление с первого рабочего дня, полное соблюдение ТК РФ;   Интересные, амбициозные задачи с достижимым результатом;   Достаточную свободу действий, инструментарий и необходимые ресурсы.","['Hadoop', 'Apache Spark', 'Greenplum']",Datanomica,"Москва, Деловой центр, Кутузовская, Кутузовская, Кутузовская, Кутузовский проспект, 32к1"
